uf,tipo_area,sexo,idade,cor,pessoas_dom,freq_esc,nivel_instrucao,ocup_forca,trab_procurou,motivo_ntrab,serv_pub,ocup_cond,ocup_desc,ocup_cod,ocup_grupo,ocup_pos,ocup_pos2,ativ_cod,ativ_grupo,prev,ocup_horas,rendimento,rendimento_total
21,4,masculino,21,4,6,2.0,sem_instrucao,2.0,2.0,6.0,,,,,,,,,,,,,
31,4,masculino,62,1,7,2.0,fundamental_inc,1.0,1.0,,,2.0,,,,,,,,,,,
12,1,masculino,18,4,5,2.0,fundamental_inc,1.0,1.0,,,2.0,,,,,,,,,,,
23,4,feminino,78,4,2,2.0,sem_instrucao,2.0,2.0,4.0,,,,,,,,,,,,,
31,4,masculino,13,4,5,1.0,fundamental_inc,,,,,,,,,,,,,,,,
53,1,feminino,81,1,1,2.0,fundamental_inc,2.0,2.0,3.0,,,,,,,,,,,,,
52,4,feminino,57,1,1,2.0,fundamental_inc,2.0,2.0,5.0,,,,,,,,,,,,,
35,4,feminino,71,4,6,2.0,sem_instrucao,2.0,2.0,4.0,,,,,,,,,,,,,
23,2,feminino,30,4,2,2.0,medio,1.0,,,,1.0,frent_posto_gas,5245.0,5.0,1.0,1.0,48060.0,4.0,1.0,4.0,1200.0,1200.0
11,1,masculino,28,4,4,2.0,superior_inc,2.0,2.0,5.0,,,,,,,,,,,,,
31,2,feminino,22,1,6,2.0,superior_inc,1.0,,,,1.0,represent_comercial,3322.0,3.0,4.0,8.0,48010.0,4.0,1.0,3.0,1000.0,1000.0
21,1,masculino,38,4,5,2.0,fundamental_inc,2.0,2.0,3.0,,,,,,,,,,,,,
12,1,feminino,40,4,2,2.0,medio_inc,1.0,,,,1.0,cuid_crianca,5311.0,5.0,2.0,3.0,97000.0,11.0,1.0,2.0,937.0,937.0
12,1,feminino,46,4,3,2.0,medio,2.0,2.0,1.0,,,,,,,,,,,,,
31,4,masculino,57,4,5,2.0,fundamental_inc,1.0,,,,1.0,geren_restaurante,1412.0,1.0,5.0,9.0,56011.0,6.0,2.0,5.0,100.0,50.0
43,4,masculino,62,1,3,2.0,fundamental_inc,1.0,,,,1.0,criador_gado,6121.0,6.0,5.0,9.0,1201.0,1.0,1.0,5.0,15000.0,15000.0
